香港闽信保险有限公司	外资保险公司代表处	1997-3-5	请选择	
富德生命人寿保险股份有限公司泉州中心支公司晋江市龙湖营销服务部	保险公司－人身险	2007-5-18	营业	
富德生命人寿保险股份有限公司福建分公司南安营销服务部	保险公司－人身险	2006-8-23	营业	
富德生命人寿保险股份有限公司泉州中心支公司南安市水头营销服务部	保险公司－人身险	2008-4-30	营业	
富德生命人寿保险股份有限公司泉州中心支公司南安市官桥营销服务部	保险公司－人身险	2008-4-30	营业	
富德生命人寿保险股份有限公司漳州中心支公司	保险公司－人身险	2006-2-24	营业	
富德生命人寿保险股份有限公司福建分公司漳州中心支公司云霄营销服务部	保险公司－人身险	2007-5-16	营业	
富德生命人寿保险股份有限公司福建分公司漳浦营销服务部	保险公司－人身险	2007-3-24	营业	
富德生命人寿保险股份有限公司漳州中心支公司诏安营销服务部	保险公司－人身险	2011-5-31	营业	
富德生命人寿保险股份有限公司福建分公司漳州中心支公司东山营销服务部	保险公司－人身险	2007-5-28	营业	
富德生命人寿保险股份有限公司漳州中心支公司漳州台商投资区营销服务部	保险公司－人身险	2006-11-28	营业	
富德生命人寿保险股份有限公司南平中心支公司	保险公司－人身险	2006-4-19	营业	
富德生命人寿保险股份有限公司福建分公司南平中心支公司浦城营销服务部	保险公司－人身险	2013-12-6	营业	
富德生命人寿保险股份有限公司福建分公司光泽营销服务部	保险公司－人身险	2006-9-8	营业	
富德生命人寿保险股份有限公司福建分公司邵武营销服务部	保险公司－人身险	2006-12-13	营业	
富德生命人寿保险股份有限公司福建分公司武夷山营销服务部	保险公司－人身险	2006-12-6	营业	
富德生命人寿保险股份有限公司南平中心支公司建瓯营销服务部	保险公司－人身险	2011-11-24	营业	
富德生命人寿保险股份有限公司龙岩中心支公司	保险公司－人身险	2006-4-21	营业	
富德生命人寿保险股份有限公司龙岩中心支公司长汀营销服务部	保险公司－人身险	2013-12-9	营业	
富德生命人寿保险股份有限公司福建分公司龙岩中心支公司永定营销服务部	保险公司－人身险	2007-6-12	营业	
富德生命人寿保险股份有限公司福建分公司上杭营销服务部	保险公司－人身险	2006-12-7	营业	
富德生命人寿保险股份有限公司福建分公司连城营销服务部	保险公司－人身险	2006-12-8	营业	
富德生命人寿保险股份有限公司福建分公司龙岩中心支公司漳平营销服务部	保险公司－人身险	2007-5-22	营业	
富德生命人寿保险股份有限公司宁德中心支公司	保险公司－人身险	2006-4-20	营业	
富德生命人寿保险股份有限公司福建分公司宁德中心支公司霞浦营销服务部	保险公司－人身险	2007-4-27	营业	
富德生命人寿保险股份有限公司福建分公司宁德中心支公司古田营销服务部	保险公司－人身险	2012-6-6	营业	
富德生命人寿保险股份有限公司福建分公司福安营销服务部	保险公司－人身险	2006-12-14	营业	
富德生命人寿保险股份有限公司福建分公司福鼎营销服务部	保险公司－人身险	2006-11-30	营业	
平安养老保险股份有限公司福建分公司	保险公司－人身险	2007-3-19	营业	
平安养老保险股份有限公司福州中心支公司	保险公司－人身险	2017-1-25	营业	
平安养老保险股份有限公司三明中心支公司	保险公司－人身险	2016-8-1	营业	
平安养老保险股份有限公司泉州中心支公司	保险公司－人身险	2007-9-28	营业	
平安养老保险股份有限公司漳州中心支公司	保险公司－人身险	2007-9-28	营业	
平安养老保险股份有限公司龙岩中心支公司	保险公司－人身险	2007-9-28	营业	
